GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
User Management Service,com.userservice.management.rbac.service.impl,RoleServiceImpl,153,133,11,5,27,30,15,7,8,6
User Management Service,com.userservice.management.rbac.service.impl,PermissionServiceImpl,165,0,8,0,36,0,14,0,10,0
User Management Service,com.usermanagement.payment.context,PaymentContext,21,6,2,0,4,3,2,1,1,1
User Management Service,com.usermanagement.config,SecurityConfig,0,83,0,0,0,17,0,7,0,7
User Management Service,com.usermanagement.observer.metrics,ObserverMetrics,67,9,4,0,8,4,4,2,2,2
User Management Service,com.usermanagement,UserManagementApplication,5,3,0,0,2,1,1,1,1,1
User Management Service,com.usermanagement.security,UserPrincipal,1,72,1,1,0,23,1,11,0,11
User Management Service,com.usermanagement.security,JwtAuthenticationFilter,0,71,2,6,0,15,2,5,0,3
User Management Service,com.usermanagement.security,UserSecurity,24,3,6,0,7,1,4,1,1,1
User Management Service,com.usermanagement.security,JwtUtil,3,55,0,0,2,18,0,5,0,5
User Management Service,com.usermanagement.security,CustomUserDetailsService,6,27,0,0,0,6,1,2,1,2
User Management Service,com.usermanagement.observer.impl,OrderEvent,21,0,0,0,8,0,4,0,4,0
User Management Service,com.usermanagement.observer.impl,SmsNotificationObserver,19,7,2,0,4,2,4,2,3,2
User Management Service,com.usermanagement.observer.impl,AnalyticsObserver,10,7,0,0,4,2,3,2,3,2
User Management Service,com.usermanagement.observer.impl,EmailNotificationObserver,12,7,0,0,4,2,3,2,3,2
User Management Service,com.usermanagement.observer.impl,OrderEventSubject,102,15,4,0,23,4,8,2,6,2
User Management Service,com.usermanagement.dto,UserDto,23,75,6,0,4,20,4,20,1,20
User Management Service,com.usermanagement.dto,PaymentResult,36,0,0,0,12,0,8,0,8,0
User Management Service,com.usermanagement.dto,PermissionDto,221,16,45,1,5,1,34,4,11,4
User Management Service,com.usermanagement.dto,PaymentRequest,59,0,0,0,17,0,17,0,17,0
User Management Service,com.usermanagement.dto,AccessRequestDto,342,16,69,1,8,1,52,4,17,4
User Management Service,com.usermanagement.dto,StandardResponse,7,19,0,0,1,2,1,2,1,2
User Management Service,com.usermanagement.dto,AuditLogDto,220,16,45,1,5,1,34,4,11,4
User Management Service,com.usermanagement.dto,RoleDto,0,15,0,0,0,1,0,1,0,1
User Management Service,com.usermanagement.dto,PaymentStatus,33,0,0,0,6,0,1,0,1,0
User Management Service,com.usermanagement.observer.core,ObserverPriority,21,0,0,0,2,0,1,0,1,0
User Management Service,com.usermanagement.observer.core,Event,16,0,0,0,5,0,3,0,3,0
User Management Service,com.usermanagement.observer.core,Observer,6,0,0,0,1,0,1,0,1,0
